Sample,Sample_prop
0,1
1,0.025
2,0.025
3,0.025
4,0.025
5,0.025
6,0.025
7,0.025
8,0.025
9,0.025
10,0.025
11,0.05
12,0.05
13,0.05
14,0.05
15,0.05
16,0.05
17,0.05
18,0.05
19,0.05
20,0.05
21,0.075
22,0.075
23,0.075
24,0.075
25,0.075
26,0.075
27,0.075
28,0.075
29,0.075
30,0.075
31,0.1
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.1
40,0.1
41,0.125
42,0.125
43,0.125
44,0.125
45,0.125
46,0.125
47,0.125
48,0.125
49,0.125
50,0.125
51,0.15
52,0.15
53,0.15
54,0.15
55,0.15
56,0.15
57,0.15
58,0.15
59,0.15
60,0.15
61,0.175
62,0.175
63,0.175
64,0.175
65,0.175
66,0.175
67,0.175
68,0.175
69,0.175
70,0.175
71,0.1999999999999999
72,0.1999999999999999
73,0.1999999999999999
74,0.1999999999999999
75,0.1999999999999999
76,0.1999999999999999
77,0.1999999999999999
78,0.1999999999999999
79,0.1999999999999999
80,0.1999999999999999
81,0.2249999999999999
82,0.2249999999999999
83,0.2249999999999999
84,0.2249999999999999
85,0.2249999999999999
86,0.2249999999999999
87,0.2249999999999999
88,0.2249999999999999
89,0.2249999999999999
90,0.2249999999999999
92,0.2499999999999999
93,0.2499999999999999
94,0.2499999999999999
95,0.2499999999999999
96,0.2499999999999999
97,0.2499999999999999
98,0.2499999999999999
99,0.2499999999999999
100,0.2499999999999999
101,0.2749999999999999
102,0.2749999999999999
103,0.2749999999999999
104,0.2749999999999999
105,0.2749999999999999
106,0.2749999999999999
107,0.2749999999999999
108,0.2749999999999999
109,0.2749999999999999
110,0.2749999999999999
111,0.3
112,0.3
113,0.3
114,0.3
115,0.3
116,0.3
117,0.3
118,0.3
119,0.3
120,0.3
121,0.325
122,0.325
123,0.325
124,0.325
125,0.325
126,0.325
127,0.325
128,0.325
129,0.325
130,0.325
131,0.35
132,0.35
133,0.35
134,0.35
135,0.35
136,0.35
137,0.35
138,0.35
139,0.35
140,0.35
141,0.375
142,0.375
143,0.375
144,0.375
145,0.375
146,0.375
147,0.375
148,0.375
149,0.375
150,0.375
151,0.3999999999999999
152,0.3999999999999999
153,0.3999999999999999
154,0.3999999999999999
155,0.3999999999999999
156,0.3999999999999999
157,0.3999999999999999
158,0.3999999999999999
159,0.3999999999999999
160,0.3999999999999999
161,0.425
162,0.425
163,0.425
164,0.425
165,0.425
166,0.425
167,0.425
168,0.425
169,0.425
170,0.425
171,0.45
172,0.45
173,0.45
174,0.45
175,0.45
176,0.45
177,0.45
178,0.45
179,0.45
180,0.45
181,0.475
182,0.475
183,0.475
184,0.475
185,0.475
186,0.475
187,0.475
188,0.475
189,0.475
190,0.475
191,0.5
192,0.5
193,0.5
194,0.5
195,0.5
196,0.5
197,0.5
198,0.5
199,0.5
200,0.5
201,0.6
202,0.6
203,0.6
205,0.6
207,0.6
208,0.6
209,0.6
210,0.6
211,0.7
212,0.7
213,0.7
215,0.7
216,0.7
217,0.7
219,0.7
221,0.8
222,0.8
223,0.8
224,0.8
225,0.8
227,0.8
228,0.8
229,0.8
230,0.8
231,0.9
234,0.9
235,0.9
236,0.9
239,0.9
240,0.9
241,1
244,1
245,1
247,1
250,1
